Consolidado,Precio / Utilidad x,Precio / Valor Libro x,Price Sales Ratio x,Precio / EBITDA x,EV / EBITDA de la empr x,EV / Ventas x
04/01/2019,23.6,5.3,1.4,14,13.6,1.4
11/01/2019,22.9,5.1,1.4,13.6,13.2,1.3
18/01/2019,23.5,5.2,1.4,14,13.6,1.4
25/01/2019,22.7,5.1,1.4,13.5,13.1,1.3
01/02/2019,23.6,5.3,1.4,14,13.6,1.4
08/02/2019,23.5,5.2,1.4,14,13.6,1.4
15/02/2019,24.9,5.6,1.5,14.8,14.4,1.4
22/02/2019,25.2,5.6,1.5,15,14.6,1.5
01/03/2019,23.6,5.3,1.4,14.1,13.7,1.4
08/03/2019,24.1,5.4,1.4,14.3,13.9,1.4
15/03/2019,24.3,5.4,1.4,14.4,14,1.4
22/03/2019,24.1,5.4,1.4,14.3,13.9,1.4
29/03/2019,24.7,5.5,1.5,14.7,14.3,1.4
05/04/2019,26,6.9,1.5,15.1,14.6,1.5
12/04/2019,25.6,6.8,1.5,14.8,14.4,1.5
19/04/2019,26.1,7,1.6,15.2,14.7,1.5
26/04/2019,26.3,7,1.6,15.3,14.8,1.5
03/05/2019,26.1,7,1.6,15.2,14.7,1.5
10/05/2019,25.5,6.8,1.5,14.8,14.4,1.5
17/05/2019,25.2,6.7,1.5,14.7,14.2,1.5
24/05/2019,25.8,6.9,1.5,15,14.5,1.5
31/05/2019,26.1,6.9,1.5,15.1,14.7,1.5
07/06/2019,25.4,6.8,1.5,14.7,14.3,1.5
14/06/2019,25.5,6.8,1.5,14.8,14.4,1.5
21/06/2019,24.9,6.6,1.5,14.5,14,1.4
28/06/2019,24.7,6.6,1.5,14.3,13.9,1.4
05/07/2019,24.9,6.3,1.5,14.1,13.7,1.4
12/07/2019,24.7,6.3,1.5,14.1,13.7,1.4
19/07/2019,25.2,6.4,1.5,14.4,14,1.5
26/07/2019,25.9,6.6,1.6,14.7,14.3,1.5
02/08/2019,25.8,6.6,1.5,14.7,14.3,1.5
09/08/2019,25.8,6.6,1.5,14.6,14.3,1.5
16/08/2019,25.9,6.6,1.6,14.7,14.3,1.5
23/08/2019,25.9,6.6,1.6,14.7,14.3,1.5
30/08/2019,26.2,6.7,1.6,14.9,14.5,1.5
06/09/2019,26.8,6.8,1.6,15.2,14.8,1.6
13/09/2019,26.6,6.8,1.6,15.1,14.7,1.6
20/09/2019,25.4,6.5,1.5,14.4,14,1.5
27/09/2019,26.9,6.8,1.6,15.3,14.9,1.6
04/10/2019,26.8,6.4,1.6,14.8,14.5,1.6
11/10/2019,25.1,6,1.5,13.9,13.6,1.5
18/10/2019,25.7,6.2,1.5,14.2,13.9,1.5
25/10/2019,26.5,6.4,1.6,14.7,14.4,1.6
01/11/2019,26.8,6.4,1.6,14.9,14.6,1.6
08/11/2019,25.5,6.1,1.5,14.1,13.8,1.5
15/11/2019,24.8,6,1.5,13.8,13.5,1.5
22/11/2019,25,6,1.5,13.9,13.6,1.5
29/11/2019,24.8,5.9,1.5,13.7,13.4,1.5
06/12/2019,24.3,5.8,1.5,13.5,13.2,1.4
13/12/2019,25.3,6.1,1.5,14,13.7,1.5
20/12/2019,25.9,6.2,1.6,14.3,14,1.5
27/12/2019,25.3,6.1,1.5,14,13.7,1.5
03/01/2020,25.2,5.7,1.5,13.4,13,1.4
10/01/2020,25.9,5.8,1.5,13.8,13.4,1.5
17/01/2020,26.8,6,1.6,14.3,13.9,1.5
24/01/2020,26.2,5.9,1.5,14,13.5,1.5
31/01/2020,25.3,5.7,1.5,13.5,13.1,1.4
07/02/2020,25.8,5.8,1.5,13.8,13.3,1.5
14/02/2020,26.8,6,1.6,14.3,13.9,1.5
21/02/2020,27.1,6.1,1.6,14.5,14,1.5
28/02/2020,25.4,5.7,1.5,13.6,13.1,1.4
06/03/2020,26.5,6,1.6,14.1,13.7,1.5
13/03/2020,26,5.9,1.5,13.9,13.4,1.5
20/03/2020,23.7,5.3,1.4,12.6,12.2,1.3
27/03/2020,24.6,5.5,1.4,13.1,12.7,1.4
03/04/2020,24.4,5.9,1.4,13,12.5,1.4
10/04/2020,25.1,6.1,1.5,13.4,12.9,1.4
17/04/2020,25.8,6.2,1.5,13.7,13.2,1.5
24/04/2020,25.4,6.1,1.5,13.5,13,1.4
01/05/2020,25.8,6.2,1.5,13.8,13.2,1.5
08/05/2020,26.1,6.3,1.5,13.9,13.4,1.5
15/05/2020,24.9,6,1.5,13.3,12.8,1.4
22/05/2020,24.8,6,1.5,13.2,12.7,1.4
29/05/2020,24.6,5.9,1.5,13.1,12.6,1.4
05/06/2020,24.6,5.9,1.5,13.1,12.6,1.4
12/06/2020,24.2,5.8,1.4,12.9,12.4,1.4
19/06/2020,24.5,5.9,1.4,13,12.5,1.4
26/06/2020,24.5,5.9,1.4,13.1,12.5,1.4
03/07/2020,30.7,6.1,1.4,13.5,13.1,1.4
10/07/2020,29.8,5.9,1.4,13.1,12.7,1.4
17/07/2020,30.7,6.1,1.4,13.5,13.1,1.4
24/07/2020,30.7,6.1,1.4,13.5,13.1,1.4
31/07/2020,28.4,5.6,1.3,12.5,12.1,1.3
07/08/2020,30.2,6,1.4,13.3,12.9,1.4
14/08/2020,31,6.1,1.5,13.7,13.2,1.4
21/08/2020,30.8,6.1,1.5,13.6,13.1,1.4
28/08/2020,29.5,5.8,1.4,13,12.6,1.3
04/09/2020,28.2,5.6,1.3,12.4,12,1.3
11/09/2020,27.5,5.4,1.3,12.1,11.7,1.3
18/09/2020,27.6,5.5,1.3,12.1,11.7,1.3
25/09/2020,29,5.7,1.4,12.8,12.4,1.3
02/10/2020,28.3,5.4,1.3,12.3,11.8,1.3
09/10/2020,29.3,5.6,1.4,12.7,12.2,1.3
16/10/2020,27.7,5.3,1.3,12.1,11.6,1.2
23/10/2020,28.8,5.5,1.3,12.6,12,1.3
30/10/2020,27.9,5.4,1.3,12.2,11.6,1.2
06/11/2020,29.5,5.6,1.4,12.8,12.3,1.3
13/11/2020,30.3,5.8,1.4,13.2,12.7,1.4
20/11/2020,31.2,6,1.4,13.6,13.1,1.4
27/11/2020,28.8,5.5,1.3,12.5,12,1.3
04/12/2020,29.8,5.7,1.4,13,12.4,1.3
11/12/2020,31,6,1.4,13.5,13,1.4
